childid,catholic,race,race_white,race_black,race_hispanic,race_asian,p5numpla,p5hmage,p5hdage,w3daded,w3momed,w3daded_hsb,w3momed_hsb,w3momscr,w3dadscr,w3inccat,w3income,w3povrty,p5fstamp,c5r2mtsc,c5r2mtsc_std
0558022C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,34,36,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,NA,35.78,"$50,001 TO $75,000",62500.5,0,0,59.645,0.940781873
0558023C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,57,BACHELOR'S DEGREE,SOME COLLEGE,0,0,38.18,NA,"$100,001 TO $200,000",150000.5,0,0,52.479,0.203089847
0566004C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,46,"MASTER'S DEGREE (MA, MS)",BACHELOR'S DEGREE,0,0,34.95,64.89,"$75,001 TO $100,000",87500.5,0,0,49.767,-0.076092511
0566005C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,41,52,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,64.89,53.5,"$100,001 TO $200,000",150000.5,0,0,47.001,-0.360833809
0566011C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,49,52,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,1,0,38.18,39.2,"$50,001 TO $75,000",62500.5,0,0,48.642,-0.191903776
0566014C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,37,43,SOME COLLEGE,SOME COLLEGE,0,0,52.54,48.69,"$75,001 TO $100,000",87500.5,0,0,40.506,-1.029450849
0566015C,1,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,29,NA,NOT APPLICABLE,SOME COLLEGE,NA,0,38.18,NA,"$20,001 TO $25,000",22500.5,0,0,36.96,-1.394487958
0566017C,1,"WHITE, NON-HISPANIC",1,0,0,0,2,27,NA,NOT APPLICABLE,SOME COLLEGE,NA,0,38.18,NA,"$30,001 TO $35,000",32500.5,0,1,43.494,-0.721856127
0566020C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,40,42,HIGH SCHOOL DIPLOMA/EQUIVALENT,"MASTER'S DEGREE (MA, MS)",1,0,63.43,39.18,"$50,001 TO $75,000",62500.5,0,0,57.828,0.753733811
0566021C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,32,36,HIGH SCHOOL DIPLOMA/EQUIVALENT,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,1,0,63.43,39.2,"$35,001 TO $40,000",37500.5,0,0,39.843,-1.097702288
0566022C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,49,45,SOME COLLEGE,BACHELOR'S DEGREE,0,0,61.56,53.5,"$50,001 TO $75,000",62500.5,0,0,47.91,-0.267258306
0572001C,0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.543,-0.922698598
0572004C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,45,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,61.56,61.56,"$100,001 TO $200,000",150000.5,0,0,47.773,-0.281361545
0572005C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,40,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,48.69,53.5,"$50,001 TO $75,000",62500.5,0,0,61.908,1.173742667
0572007C,0,"WHITE, NON-HISPANIC",1,0,0,0,2,37,37,SOME COLLEGE,BACHELOR'S DEGREE,0,0,34.95,35.78,"$40,001 TO $50,000",45000.5,0,0,44.466,-0.621795194
0572008C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,44,BACHELOR'S DEGREE,"MASTER'S DEGREE (MA, MS)",0,0,NA,53.5,"$50,001 TO $75,000",62500.5,0,0,54.348,0.395490963
0572009C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,38,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,NA,35.92,"$40,001 TO $50,000",45000.5,0,0,42.1,-0.865359153
0572010C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,NA,DOCTORATE OR PROFESSIONAL DEGREE,BACHELOR'S DEGREE,0,0,NA,38.18,"$50,001 TO $75,000",62500.5,0,0,63.008,1.286980349
0572011C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,44,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,NA,64.89,"$75,001 TO $100,000",87500.5,0,0,52.241,0.17858933
0572012C,0,"WHITE, NON-HISPANIC",1,0,0,0,2,41,48,SOME COLLEGE,HIGH SCHOOL DIPLOMA/EQUIVALENT,0,1,57.83,39.18,"$75,001 TO $100,000",87500.5,0,0,53.806,0.339695669
0572013C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,49,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,53.5,61.56,"$100,001 TO $200,000",150000.5,0,0,44.101,-0.659369516
0572014C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,46,BACHELOR'S DEGREE,DOCTORATE OR PROFESSIONAL DEGREE,0,0,61.56,39.18,"$100,001 TO $200,000",150000.5,0,0,56.914,0.659643591
0572016C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,44,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,35.63,39.18,"$50,001 TO $75,000",62500.5,0,0,54.146,0.374696407
0572017C,0,"WHITE, NON-HISPANIC",1,0,0,0,3,42,41,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,HIGH SCHOOL DIPLOMA/EQUIVALENT,0,1,38.18,38.18,"$75,001 TO $100,000",87500.5,0,0,52.197,0.174059823
0572018C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,NA,NOT APPLICABLE,BACHELOR'S DEGREE,NA,0,NA,NA,"$100,001 TO $200,000",150000.5,0,0,53.217,0.279062037
0572019C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,38,VOC/TECH PROGRAM,VOC/TECH PROGRAM,1,1,NA,39.18,"$75,001 TO $100,000",87500.5,0,0,36.265,-1.466033584
0572021C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,64,72,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,"MASTER'S DEGREE (MA, MS)",0,0,59,NA,"$75,001 TO $100,000",87500.5,0,0,37.822,-1.305750793
0572022C,0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,42,43,BACHELOR'S DEGREE,SOME COLLEGE,0,0,53.5,34.95,"$75,001 TO $100,000",87500.5,0,0,41.007,-0.977876232
0572023C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,35,"MASTER'S DEGREE (MA, MS)",HIGH SCHOOL DIPLOMA/EQUIVALENT,0,1,53.5,39.2,"$50,001 TO $75,000",62500.5,0,0,50.422,-0.008664618
0572024C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,50,SOME COLLEGE,SOME COLLEGE,0,0,34.95,39.2,"$100,001 TO $200,000",150000.5,0,0,45.188,-0.547470097
0573001C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,48,49,BACHELOR'S DEGREE,"MASTER'S DEGREE (MA, MS)",0,0,63.43,53.5,"$100,001 TO $200,000",150000.5,0,0,53.641,0.322710016
0573003C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,42,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,NA,64.89,"$50,001 TO $75,000",62500.5,0,0,55.122,0.475169113
0573004C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,45,"MASTER'S DEGREE (MA, MS)",BACHELOR'S DEGREE,0,0,53.5,53.5,"$100,001 TO $200,000",150000.5,0,0,53.58,0.316430472
0573005C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,45,44,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,53.5,53.5,"$100,001 TO $200,000",150000.5,0,0,40.335,-1.047054161
0573006C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,39,DOCTORATE OR PROFESSIONAL DEGREE,BACHELOR'S DEGREE,0,0,61.56,59,"$100,001 TO $200,000",150000.5,0,0,60.673,1.046607633
0573008C,1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.367,-1.146703321
0573009C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,46,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,53.5,35.78,"$100,001 TO $200,000",150000.5,0,0,55.299,0.493390086
0573011C,1,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,41,41,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,53.5,48.69,"$75,001 TO $100,000",87500.5,0,0,61.452,1.126800501
0573012C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,44,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,53.5,53.5,"$100,001 TO $200,000",150000.5,0,0,64.867,1.478352032
0573013C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,44,46,DOCTORATE OR PROFESSIONAL DEGREE,SOME COLLEGE,0,0,38.18,59,"$100,001 TO $200,000",150000.5,0,0,58.014,0.772881273
0573016C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,47,DOCTORATE OR PROFESSIONAL DEGREE,DOCTORATE OR PROFESSIONAL DEGREE,0,0,59,59,"$200,001 TO $200,001",200001,0,0,75.825,2.60640523
0573017C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,46,47,"MASTER'S DEGREE (MA, MS)",DOCTORATE OR PROFESSIONAL DEGREE,0,0,53.5,53.5,"$100,001 TO $200,000",150000.5,0,0,60.6,1.039092769
0573018C,1,"WHITE, NON-HISPANIC",1,0,0,0,NA,41,NA,NOT APPLICABLE,SOME COLLEGE,NA,0,33.42,NA,"$50,001 TO $75,000",62500.5,0,NA,47.28,-0.332112615
0573019C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,48,47,BACHELOR'S DEGREE,DOCTORATE OR PROFESSIONAL DEGREE,0,0,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,55.552,0.519434753
0573022C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,42,"MASTER'S DEGREE (MA, MS)",BACHELOR'S DEGREE,0,0,38.18,64.89,"$75,001 TO $100,000",87500.5,0,0,55.251,0.488448805
0573023C,1,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,45,45,BACHELOR'S DEGREE,VOC/TECH PROGRAM,0,1,38.18,53.5,"$100,001 TO $200,000",150000.5,0,0,44.923,-0.574750084
0573024C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,46,DOCTORATE OR PROFESSIONAL DEGREE,"MASTER'S DEGREE (MA, MS)",0,0,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,60.1,0.987621096
0573025C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,39,DOCTORATE OR PROFESSIONAL DEGREE,BACHELOR'S DEGREE,0,0,61.56,59,"$100,001 TO $200,000",150000.5,0,0,63.936,1.382511775
0576003C,0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,31,30,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,1,0,38.18,39.2,"$50,001 TO $75,000",62500.5,0,0,50.172,-0.034400455
0576005C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,53,DOCTORATE OR PROFESSIONAL DEGREE,SOME COLLEGE,0,0,52.54,35.78,"$200,001 TO $200,001",200001,0,0,67.038,1.701842038
0576006C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,NA,NOT APPLICABLE,HIGH SCHOOL DIPLOMA/EQUIVALENT,NA,1,53.5,NA,"$35,001 TO $40,000",37500.5,0,0,53.232,0.280606187
0576008C,0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.106,-0.452968105
0576013C,0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.271,2.137601227
0576024C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,43,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,1,0,38.18,53.5,"$75,001 TO $100,000",87500.5,0,0,70.013,2.008098496
0580003C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,43,SOME COLLEGE,HIGH SCHOOL DIPLOMA/EQUIVALENT,0,1,34.95,NA,"$35,001 TO $40,000",37500.5,0,0,55.769,0.541773459
0580004C,0,ASIAN,0,0,0,1,1,46,53,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,8TH GRADE OR BELOW,0,1,NA,35.78,"$25,001 TO $30,000",27500.5,0,0,32.183,-1.886248327
0580005C,0,ASIAN,0,0,0,1,NA,53,54,BACHELOR'S DEGREE,SOME COLLEGE,0,0,38.18,38.18,"$75,001 TO $100,000",87500.5,0,NA,53.948,0.354313624
0580008C,0,"HISPANIC, RACE SPECIFIED",0,0,1,0,2,43,43,9TH - 12TH GRADE,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,34.95,39.2,"$30,001 TO $35,000",32500.5,0,0,35.731,-1.521005332
0580009C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,47,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,53.5,53.5,"$100,001 TO $200,000",150000.5,0,0,66.732,1.670341374
0580013C,0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,44,43,SOME COLLEGE,HIGH SCHOOL DIPLOMA/EQUIVALENT,0,1,35.78,53.5,"$25,001 TO $30,000",27500.5,0,0,45.002,-0.56661756
0580014C,0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,34,35,8TH GRADE OR BELOW,8TH GRADE OR BELOW,1,1,34.95,39.2,"$30,001 TO $35,000",32500.5,0,0,55.888,0.554023717
0580016C,0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,37,NA,NOT APPLICABLE,8TH GRADE OR BELOW,NA,1,34.95,NA,"$20,001 TO $25,000",22500.5,1,0,38.512,-1.234719883
0580017C,0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,32,35,9TH - 12TH GRADE,9TH - 12TH GRADE,1,1,34.95,39.2,"$15,001 TO $20,000",17500.5,1,0,47.566,-0.302670818
0580019C,0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,31,33,8TH GRADE OR BELOW,8TH GRADE OR BELOW,1,1,NA,39.18,"$15,001 TO $20,000",17500.5,1,0,46.394,-0.423320421
0581002C,0,ASIAN,0,0,0,1,2,32,40,"MASTER'S DEGREE (MA, MS)",BACHELOR'S DEGREE,0,0,NA,35.92,"$20,001 TO $25,000",22500.5,0,0,56.566,0.623819307
0581004C,0,ASIAN,0,0,0,1,1,40,40,"MASTER'S DEGREE (MA, MS)",SOME COLLEGE,0,0,53.5,NA,"$75,001 TO $100,000",87500.5,0,0,59.891,0.966105936
0581007C,0,ASIAN,0,0,0,1,1,41,49,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,34.95,48.69,"$75,001 TO $100,000",87500.5,0,0,62.102,1.193713677
0581008C,0,ASIAN,0,0,0,1,1,45,56,"MASTER'S DEGREE (MA, MS)",SOME COLLEGE,0,0,35.78,48.69,"$75,001 TO $100,000",87500.5,0,0,63.244,1.311274979
0581009C,0,ASIAN,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.523,0.413506048
0581010C,0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,NA,40,"MASTER'S DEGREE (MA, MS)",NOT APPLICABLE,0,NA,NA,62.87,"$75,001 TO $100,000",87500.5,0,0,46.087,-0.454924028
0581012C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,36,VOC/TECH PROGRAM,VOC/TECH PROGRAM,1,1,38.18,39.18,"$50,001 TO $75,000",62500.5,0,0,50.908,0.041365848
0581013C,0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.044,-0.253463898
0581017C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,42,9TH - 12TH GRADE,SOME COLLEGE,1,0,NA,34.95,"$75,001 TO $100,000",87500.5,0,0,57.517,0.72171843
0581018C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,47,9TH - 12TH GRADE,SOME COLLEGE,1,0,NA,39.2,"$50,001 TO $75,000",62500.5,0,0,48.726,-0.183256535
0581020C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,45,BACHELOR'S DEGREE,SOME COLLEGE,0,0,NA,53.5,"$50,001 TO $75,000",62500.5,0,0,69.056,1.909581713
0581021C,0,NOT ASCERTAINED,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.078,0.161809565
0581022C,0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.285,-1.052201329
0581023C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,39,9TH - 12TH GRADE,9TH - 12TH GRADE,1,1,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,38.395,-1.246764255
0581024C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,49,9TH - 12TH GRADE,9TH - 12TH GRADE,1,1,35.92,48.69,"$50,001 TO $75,000",62500.5,0,0,43.773,-0.693134934
0581040C,0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,43,41,SOME COLLEGE,8TH GRADE OR BELOW,0,1,34.95,38.18,"$40,001 TO $50,000",45000.5,0,0,47.881,-0.270243663
0584004C,0,ASIAN,0,0,0,1,1,42,48,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,34.95,34.95,"$40,001 TO $50,000",45000.5,0,0,49.713,-0.081651451
0584006C,0,ASIAN,0,0,0,1,1,40,44,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,64.89,48.69,"$100,001 TO $200,000",150000.5,0,0,61.627,1.144815587
0584007C,0,ASIAN,0,0,0,1,1,50,54,"MASTER'S DEGREE (MA, MS)",BACHELOR'S DEGREE,0,0,63.43,53.5,"$50,001 TO $75,000",62500.5,0,0,57.356,0.705144551
0584008C,0,ASIAN,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.796,0.544552929
0584009C,0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,29,32,SOME COLLEGE,SOME COLLEGE,0,0,62.87,52.54,"$50,001 TO $75,000",62500.5,0,0,47.983,-0.259743442
0584010C,0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.459,1.024577757
0584011C,0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,43,45,BACHELOR'S DEGREE,SOME COLLEGE,0,0,NA,48.69,"$75,001 TO $100,000",87500.5,0,0,52.124,0.166544959
0584012C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,45,"MASTER'S DEGREE (MA, MS)",9TH - 12TH GRADE,0,1,NA,53.5,"$200,001 TO $200,001",200001,0,0,57.87,0.758057431
0584013C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,43,"MASTER'S DEGREE (MA, MS)",BACHELOR'S DEGREE,0,0,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,71.284,2.13893949
0584014C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,NA,NOT APPLICABLE,BACHELOR'S DEGREE,NA,0,64.89,NA,"$50,001 TO $75,000",62500.5,0,0,66.851,1.682591632
0584015C,0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,33,34,"MASTER'S DEGREE (MA, MS)",HIGH SCHOOL DIPLOMA/EQUIVALENT,0,1,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,48.953,-0.159888395
0584017C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,43,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,59,62.87,"$75,001 TO $100,000",87500.5,0,0,63.331,1.32023105
0584019C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,42,BACHELOR'S DEGREE,SOME COLLEGE,0,0,34.95,53.5,"$50,001 TO $75,000",62500.5,0,0,50.645,0.014291748
0584021C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,49,50,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,34.95,48.69,"$100,001 TO $200,000",150000.5,0,0,65.722,1.566368593
0584023C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,41,"MASTER'S DEGREE (MA, MS)",SOME COLLEGE,0,0,53.5,59,"$100,001 TO $200,000",150000.5,0,0,64.103,1.399703314
0584024C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,44,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,62.87,53.5,"$100,001 TO $200,000",150000.5,0,0,61.105,1.091079159
0587001C,0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,49,38,BACHELOR'S DEGREE,SOME COLLEGE,0,0,34.95,35.92,"$50,001 TO $75,000",62500.5,0,0,56.933,0.661599515
0587002C,0,ASIAN,0,0,0,1,1,42,44,DOCTORATE OR PROFESSIONAL DEGREE,DOCTORATE OR PROFESSIONAL DEGREE,0,0,62.87,53.5,"$200,001 TO $200,001",200001,0,0,67.904,1.790990977
0587004C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,40,BACHELOR'S DEGREE,HIGH SCHOOL DIPLOMA/EQUIVALENT,0,1,34.95,64.89,"$50,001 TO $75,000",62500.5,0,0,45.974,-0.466556627
0587005C,0,"NATIVE HAWAIIAN, OTHER PACIFIC ISLANDER",0,0,0,0,1,34,41,BACHELOR'S DEGREE,SOME COLLEGE,0,0,34.95,35.78,"$75,001 TO $100,000",87500.5,0,0,66.748,1.671988468
0587006C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,49,BACHELOR'S DEGREE,"MASTER'S DEGREE (MA, MS)",0,0,63.43,48.69,"$75,001 TO $100,000",87500.5,0,0,56.443,0.611157275
0587007C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,38,"MASTER'S DEGREE (MA, MS)",BACHELOR'S DEGREE,0,0,61.56,63.43,"$50,001 TO $75,000",62500.5,0,0,62.436,1.228096755
0587009C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,38,DOCTORATE OR PROFESSIONAL DEGREE,BACHELOR'S DEGREE,0,0,NA,77.5,"$100,001 TO $200,000",150000.5,0,0,58.856,0.859559572
0587010C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,NA,NOT APPLICABLE,SOME COLLEGE,NA,0,38.18,NA,"$40,001 TO $50,000",45000.5,0,0,54.106,0.370578673
0587012C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,39,HIGH SCHOOL DIPLOMA/EQUIVALENT,BACHELOR'S DEGREE,1,0,35.78,38.18,"$100,001 TO $200,000",150000.5,0,0,55.798,0.544758816
0587013C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,41,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,35.78,35.78,"$100,001 TO $200,000",150000.5,0,0,48.592,-0.197050944
0587018C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,43,BACHELOR'S DEGREE,SOME COLLEGE,0,0,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,59.382,0.913707772
0587021C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,42,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,BACHELOR'S DEGREE,0,0,NA,48.69,"$75,001 TO $100,000",87500.5,0,0,58.683,0.841750373
0587022C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,35,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,59,59,"$40,001 TO $50,000",45000.5,0,0,45.615,-0.503513288
0587024C,0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,54,56,DOCTORATE OR PROFESSIONAL DEGREE,SOME COLLEGE,0,0,38.18,59,"$50,001 TO $75,000",62500.5,0,0,43.531,-0.718047224
0593001C,0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,40,50,9TH - 12TH GRADE,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,34.95,35.92,"$40,001 TO $50,000",45000.5,0,0,50.808,0.031071514
0593002C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,39,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,38.18,35.63,"$40,001 TO $50,000",45000.5,0,0,51.413,0.093352239
0593004C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,30,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,35.92,53.5,"$40,001 TO $50,000",45000.5,0,0,60.571,1.036107412
0593005C,0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,26,55,9TH - 12TH GRADE,9TH - 12TH GRADE,1,1,38.18,35.92,"$25,001 TO $30,000",27500.5,0,0,27.595,-2.358552404
0593006C,0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.635,-0.295567727
0593007C,0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.629,-0.296185387
0593010C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,31,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,34.95,33.42,"$15,001 TO $20,000",17500.5,0,0,38.837,-1.201263295
0593011C,0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.404,-1.348781112
0593012C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,55,DOCTORATE OR PROFESSIONAL DEGREE,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,0,0,52.54,59,"$50,001 TO $75,000",62500.5,0,0,53.301,0.287709278
0593013C,0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.172,0.171486239
0593015C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,46,BACHELOR'S DEGREE,"MASTER'S DEGREE (MA, MS)",0,0,53.5,35.78,"$30,001 TO $35,000",32500.5,0,0,66.21,1.616604947
0593016C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,40,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,1,0,53.5,38.18,"$75,001 TO $100,000",87500.5,0,0,61.191,1.099932287
0593020C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,46,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,NA,64.89,"$75,001 TO $100,000",87500.5,0,0,66.527,1.649237988
0593021C,0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.322,-0.636619036
